R[write to console]: Loading required package: tVAR
Accuracy for experiment id 62 is 1.0
Accuracy for experiment id 63 is 1.0
Accuracy for experiment id 64 is 1.0
Accuracy for experiment id 65 is 1.0
Accuracy for experiment id 66 is 1.0
Accuracy for experiment id 67 is 1.0
Accuracy for experiment id 68 is 1.0
Accuracy for experiment id 69 is 1.0
Accuracy for experiment id 70 is 1.0
Accuracy for experiment id 71 is 1.0
Accuracy for experiment id 72 is 1.0
Accuracy for experiment id 73 is 1.0
Accuracy for experiment id 74 is 1.0
Accuracy for experiment id 75 is 1.0
Accuracy for experiment id 76 is 1.0
Accuracy for experiment id 77 is 1.0
Accuracy for experiment id 78 is 1.0
Accuracy for experiment id 79 is 1.0
Accuracy for experiment id 80 is 1.0
Accuracy for experiment id 81 is 1.0
Accuracy for experiment id 82 is 1.0
Accuracy for experiment id 83 is 1.0
Accuracy for experiment id 84 is 1.0
Accuracy for experiment id 85 is 1.0
Accuracy for experiment id 86 is 1.0
Accuracy for experiment id 87 is 1.0
Accuracy for experiment id 88 is 1.0
Accuracy for experiment id 89 is 1.0
Accuracy for experiment id 90 is 1.0
Accuracy for experiment id 91 is 1.0
Accuracy for experiment id 92 is 1.0
Accuracy for experiment id 93 is 1.0
Accuracy for experiment id 94 is 1.0
Accuracy for experiment id 95 is 1.0
Accuracy for experiment id 96 is 1.0
Accuracy for experiment id 97 is 1.0
Accuracy for experiment id 98 is 1.0
Accuracy for experiment id 99 is 1.0
Accuracy for experiment id 100 is 1.0
Accuracy for experiment id 101 is 1.0
Accuracy for experiment id 102 is 1.0
Accuracy for experiment id 103 is 1.0
Accuracy for experiment id 104 is 1.0
Accuracy for experiment id 105 is 1.0
Accuracy for experiment id 106 is 1.0
Accuracy for experiment id 107 is 1.0
Accuracy for experiment id 108 is 1.0
Accuracy for experiment id 109 is 1.0
Accuracy for experiment id 110 is 1.0
Accuracy for experiment id 111 is 1.0
Accuracy for experiment id 112 is 1.0
Accuracy for experiment id 113 is 1.0
Accuracy for experiment id 114 is 1.0
Accuracy for experiment id 115 is 1.0
Accuracy for experiment id 116 is 1.0
Accuracy for experiment id 117 is 1.0
Accuracy for experiment id 118 is 1.0
Accuracy for experiment id 119 is 1.0
Accuracy for experiment id 120 is 1.0
Accuracy for experiment id 121 is 1.0
Accuracy for experiment id 122 is 1.0
Accuracy for experiment id 123 is 1.0
Accuracy for experiment id 124 is 1.0
Accuracy for experiment id 125 is 1.0
Accuracy for experiment id 126 is 1.0
Accuracy for experiment id 127 is 1.0
Accuracy for experiment id 128 is 1.0
Accuracy for experiment id 129 is 1.0
Accuracy for experiment id 130 is 1.0
Accuracy for experiment id 131 is 1.0
Accuracy for experiment id 132 is 1.0
Accuracy for experiment id 133 is 1.0
Accuracy for experiment id 134 is 1.0
Accuracy for experiment id 135 is 1.0
Accuracy for experiment id 136 is 1.0
Accuracy for experiment id 137 is 1.0
Accuracy for experiment id 138 is 1.0
Accuracy for experiment id 139 is 1.0
Accuracy for experiment id 140 is 1.0
Accuracy for experiment id 141 is 1.0
Accuracy for experiment id 142 is 1.0
Accuracy for experiment id 143 is 1.0
Accuracy for experiment id 144 is 1.0
Accuracy for experiment id 145 is 1.0
Accuracy for experiment id 146 is 1.0
Accuracy for experiment id 147 is 1.0
Accuracy for experiment id 148 is 1.0
Accuracy for experiment id 149 is 1.0


###############################################################################
Science Cluster
Job 2539619 for user 'bjerkovic'
Finished at: Mon Nov 28 17:44:04 CET 2022

Job details:
============

Name                : exp0
User                : bjerkovic
Partition           : csedu
Nodes               : cn47
Cores               : 2
State               : COMPLETED
Submit              : 2022-11-28T17:08:07
Start               : 2022-11-28T17:08:08
End                 : 2022-11-28T17:44:03
Reserved walltime   : 1-06:00:00
Used walltime       :   00:35:55
Used CPU time       :   00:35:38 (efficiency: 49.62%)
% User (Computation): 53.79%
% System (I/O)      : 46.21%
Mem reserved        : 2G/core
Max Mem used        : 20.10G (cn47)
Max Disk Write      : 0.00  (cn47)
Max Disk Read       : 839.68K (cn47)

